checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
'<0','critical/other existing credit','radio/tv',0<=X<2000,'no known savings','>=7','male single',elderly,'skilled',good
'0<=X<200','existing paid','radio/tv',4000<=X<6000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',bad
'no checking','critical/other existing credit','education',2000<=X<4000,'<100','4<=X<7','male single',40<=X<60,'unskilled resident',good
'<0','existing paid','furniture/equipment',6000<=X<8000,'<100','4<=X<7','male single',40<=X<60,'skilled',good
'<0','delayed previously','new car',4000<=X<6000,'<100','1<=X<4','male single',40<=X<60,'skilled',bad
'no checking','existing paid','education',8000<=X<10000,'no known savings','1<=X<4','male single',20<=X<40,'unskilled resident',good
'no checking','existing paid','furniture/equipment',2000<=X<4000,'500<=X<1000','>=7','male single',40<=X<60,'skilled',good
'0<=X<200','existing paid','used car',6000<=X<8000,'<100','1<=X<4','male single',20<=X<40,'high qualif/self emp/mgmt',good
'no checking','existing paid','radio/tv',2000<=X<4000,'>=1000','4<=X<7','male div/sep',elderly,'unskilled resident',good
'0<=X<200','critical/other existing credit','new car',4000<=X<6000,'<100',unemployed,'male mar/wid',20<=X<40,'high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','new car',0<=X<2000,'<100','<1','female div/dep/mar',20<=X<40,'skilled',bad
'<0','existing paid','business',4000<=X<6000,'<100','<1','female div/dep/mar',20<=X<40,'skilled',bad
'0<=X<200','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'<0','critical/other existing credit','new car',0<=X<2000,'<100','>=7','male single',elderly,'unskilled resident',bad
'<0','existing paid','new car',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'<0','existing paid','radio/tv',0<=X<2000,'100<=X<500','1<=X<4','female div/dep/mar',20<=X<40,'unskilled resident',bad
'no checking','critical/other existing credit','radio/tv',2000<=X<4000,'no known savings','>=7','male single',40<=X<60,'skilled',good
'<0','no credits/all paid','business',8000<=X<10000,'no known savings','<1','male single',20<=X<40,'skilled',good
'0<=X<200','existing paid','used car',abundant,'<100','>=7','female div/dep/mar',40<=X<60,'high qualif/self emp/mgmt',bad
'no checking','existing paid','radio/tv',2000<=X<4000,'500<=X<1000','>=7','male single',20<=X<40,'skilled',good
'no checking','critical/other existing credit','new car',2000<=X<4000,'<100','1<=X<4','male single',40<=X<60,'skilled',good
'<0','existing paid','radio/tv',2000<=X<4000,'500<=X<1000','1<=X<4','male single',40<=X<60,'skilled',good
'<0','critical/other existing credit','new car',2000<=X<4000,'<100','<1','male single',40<=X<60,'unskilled resident',good
'0<=X<200','critical/other existing credit','used car',0<=X<2000,'100<=X<500','<1','male single',40<=X<60,'skilled',good
'no checking','critical/other existing credit','furniture/equipment',2000<=X<4000,'no known savings','1<=X<4','male mar/wid',20<=X<40,'skilled',good
